org.joda.time.chrono.AssembledChronology:530	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:531	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:533	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:534	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:536	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:537	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:539	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:540	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:542	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:543	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:545	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:546	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:548	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:549	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:551	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:552	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:555	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:558	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.AssembledChronology:562	3.0 1647.0 0.04264014327112209
org.joda.time.tz.FixedDateTimeZone:102	3.0 1647.0 0.04264014327112209
org.joda.time.chrono.BaseChronology:54	3.0 1649.0 0.042614324229535205
org.joda.time.chrono.BaseChronology:55	3.0 1649.0 0.042614324229535205
org.joda.time.Chronology:63	3.0 1649.0 0.042614324229535205
org.joda.time.DateTimeUtils:41	3.0 1730.0 0.041606515535742315
org.joda.time.DateTimeUtils:43	3.0 1730.0 0.041606515535742315
org.joda.time.DateTimeUtils:49	3.0 1730.0 0.041606515535742315
org.joda.time.DateTimeUtils:50	3.0 1730.0 0.041606515535742315
org.joda.time.DateTimeUtils:51	3.0 1730.0 0.041606515535742315
org.joda.time.DateTimeUtils:52	3.0 1730.0 0.041606515535742315
org.joda.time.DateTimeUtils:53	3.0 1730.0 0.041606515535742315
org.joda.time.DateTimeUtils:54	3.0 1730.0 0.041606515535742315
org.joda.time.DateTimeUtils:55	3.0 1730.0 0.041606515535742315
org.joda.time.DateTimeUtils:56	3.0 1730.0 0.041606515535742315
org.joda.time.DateTimeUtils:57	3.0 1730.0 0.041606515535742315
org.joda.time.DateTimeUtils:58	3.0 1730.0 0.041606515535742315
org.joda.time.DateTimeUtils:59	3.0 1730.0 0.041606515535742315
org.joda.time.DateTimeUtils:60	3.0 1730.0 0.041606515535742315
org.joda.time.DateTimeUtils:61	3.0 1730.0 0.041606515535742315
org.joda.time.DateTimeUtils:62	3.0 1730.0 0.041606515535742315
org.joda.time.DateTimeUtils:65	3.0 1730.0 0.041606515535742315
org.joda.time.DateTimeUtils:68	3.0 1730.0 0.041606515535742315
org.joda.time.DateTimeUtils:69	3.0 1730.0 0.041606515535742315
org.joda.time.DateTimeUtils:526	3.0 1730.0 0.041606515535742315
org.joda.time.DateTimeZone:94	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:116	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:117	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:118	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:205	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:443	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:444	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:446	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:447	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:451	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:454	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:471	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:474	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:475	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:484	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:486	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:488	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:491	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:494	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:498	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:542	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:543	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:714	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:715	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:718	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:719	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeZone:731	3.0 1884.0 0.039872611141445
org.joda.time.tz.FixedDateTimeZone:38	3.0 1884.0 0.039872611141445
org.joda.time.tz.FixedDateTimeZone:39	3.0 1884.0 0.039872611141445
org.joda.time.tz.FixedDateTimeZone:40	3.0 1884.0 0.039872611141445
org.joda.time.tz.FixedDateTimeZone:41	3.0 1884.0 0.039872611141445
org.joda.time.tz.FixedDateTimeZone:42	3.0 1884.0 0.039872611141445
org.joda.time.tz.FixedDateTimeZone:88	3.0 1884.0 0.039872611141445
org.joda.time.tz.FixedDateTimeZone:89	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:82	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:83	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:106	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:107	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:110	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:111	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:114	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:115	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:117	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:118	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:121	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:123	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:124	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:135	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:139	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:140	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:144	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:149	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:151	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:152	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:153	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:154	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:173	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:195	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:198	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:199	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:200	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:204	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:213	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:251	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:252	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:254	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:257	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:259	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:261	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:262	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:273	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:274	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:275	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:276	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:280	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:281	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:283	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:286	3.0 1884.0 0.039872611141445
org.joda.time.tz.ZoneInfoProvider:288	3.0 1884.0 0.039872611141445
org.joda.time.DateTimeUtils:301	0 699.0 0.0
org.joda.time.DateTimeUtils:304	0 699.0 0.0
org.joda.time.DateTimeUtils:178	0 348.0 0.0
org.joda.time.DateTimeUtils:181	0 323.0 0.0
org.joda.time.DateTimeUtils:196	0 311.0 0.0
org.joda.time.DateTimeUtils:199	0 287.0 0.0
org.joda.time.DateTimeUtils:200	0 287.0 0.0
org.joda.time.DateTimeUtils:203	0 287.0 0.0
org.joda.time.DateTimeUtils:335	0 57.0 0.0
org.joda.time.DateTimeUtils:338	0 36.0 0.0
org.joda.time.DateTimeUtils:88	0 197.0 0.0
org.joda.time.DateTimeUtils:366	0 23.0 0.0
org.joda.time.DateTimeUtils:369	0 23.0 0.0
org.joda.time.DateTimeUtils:370	0 23.0 0.0
org.joda.time.DateTimeUtils:371	0 23.0 0.0
org.joda.time.DateTimeUtils:372	0 23.0 0.0
org.joda.time.DateTimeUtils:373	0 23.0 0.0
org.joda.time.DateTimeUtils:377	0 23.0 0.0
org.joda.time.DateTimeUtils:379	0 21.0 0.0
org.joda.time.DateTimeUtils:219	0 33.0 0.0
org.joda.time.DateTimeUtils:220	0 33.0 0.0
org.joda.time.DateTimeUtils:221	0 29.0 0.0
org.joda.time.DateTimeUtils:225	0 33.0 0.0
org.joda.time.DateTimeUtils:228	0 33.0 0.0
org.joda.time.DateTimeUtils:179	0 46.0 0.0
org.joda.time.DateTimeUtils:197	0 27.0 0.0
org.joda.time.DateTimeUtils:222	0 4.0 0.0
org.joda.time.DateTimeUtils:223	0 4.0 0.0
org.joda.time.DateTimeUtils:266	0 11.0 0.0
org.joda.time.DateTimeUtils:270	0 11.0 0.0
org.joda.time.DateTimeUtils:302	0 21.0 0.0
org.joda.time.DateTimeUtils:336	0 21.0 0.0
org.joda.time.DateTimeUtils:267	0 2.0 0.0
org.joda.time.DateTimeUtils:268	0 2.0 0.0
org.joda.time.DateTimeUtils:397	0 8.0 0.0
org.joda.time.DateTimeUtils:398	0 8.0 0.0
org.joda.time.DateTimeUtils:374	0 3.0 0.0
org.joda.time.DateTimeUtils:556	0 181.0 0.0
org.joda.time.DateTimeUtils:532	0 16.0 0.0
org.joda.time.chrono.BaseChronology:132	0 654.0 0.0
org.joda.time.chrono.BaseChronology:133	0 654.0 0.0
org.joda.time.chrono.BaseChronology:134	0 654.0 0.0
org.joda.time.chrono.BaseChronology:135	0 654.0 0.0
org.joda.time.chrono.BaseChronology:136	0 654.0 0.0
org.joda.time.chrono.BaseChronology:137	0 654.0 0.0
org.joda.time.chrono.BaseChronology:138	0 654.0 0.0
org.joda.time.chrono.BaseChronology:183	0 309.0 0.0
org.joda.time.chrono.BaseChronology:184	0 309.0 0.0
