com.google.javascript.jscomp.CodeConsumer:213	3.0 101.0 0.16984155512168936
com.google.javascript.jscomp.CodeConsumer:217	3.0 101.0 0.16984155512168936
com.google.javascript.jscomp.CodeConsumer:223	3.0 101.0 0.16984155512168936
com.google.javascript.jscomp.CodeConsumer:228	3.0 101.0 0.16984155512168936
com.google.javascript.jscomp.CodeConsumer:231	3.0 101.0 0.16984155512168936
com.google.javascript.rhino.Node:1345	3.0 102.0 0.1690308509457033
com.google.javascript.jscomp.NodeUtil:278	1.0 11.0 0.16666666666666666
com.google.javascript.jscomp.NodeUtil:279	1.0 11.0 0.16666666666666666
com.google.javascript.jscomp.NodeUtil:282	1.0 11.0 0.16666666666666666
com.google.javascript.jscomp.parsing.IRFactory:1338	3.0 106.0 0.1659003790827993
com.google.javascript.rhino.Node:511	3.0 107.0 0.1651445647689541
com.google.javascript.rhino.Node:243	3.0 107.0 0.1651445647689541
com.google.javascript.rhino.Node:244	3.0 107.0 0.1651445647689541
com.google.javascript.rhino.Node:245	3.0 107.0 0.1651445647689541
com.google.javascript.jscomp.NodeUtil:488	2.0 47.0 0.1649572197684645
com.google.javascript.jscomp.NodeUtil:491	2.0 47.0 0.1649572197684645
com.google.javascript.rhino.Node:519	2.0 47.0 0.1649572197684645
com.google.javascript.jscomp.parsing.IRFactory:1350	2.0 47.0 0.1649572197684645
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:257	2.0 47.0 0.1649572197684645
com.google.javascript.jscomp.CodeGenerator:601	3.0 113.0 0.1608168802256692
com.google.javascript.jscomp.CodeGenerator:602	3.0 113.0 0.1608168802256692
com.google.javascript.jscomp.CodeGenerator:603	3.0 113.0 0.1608168802256692
com.google.javascript.jscomp.CodeGenerator:604	3.0 113.0 0.1608168802256692
com.google.javascript.jscomp.PeepholeFoldConstants:240	1.0 12.0 0.16012815380508713
com.google.javascript.jscomp.NodeUtil:1148	3.0 115.0 0.15944820103582016
com.google.javascript.jscomp.CodeGenerator:189	3.0 121.0 0.1555427542095638
com.google.javascript.jscomp.PeepholeFoldConstants:239	1.0 13.0 0.1543033499620919
com.google.javascript.jscomp.PeepholeFoldConstants:653	1.0 13.0 0.1543033499620919
