org.apache.commons.math3.stat.ranking.NaturalRanking:131	1.0 3.0 0.5
org.apache.commons.math3.stat.ranking.NaturalRanking:132	1.0 3.0 0.5
org.apache.commons.math3.stat.ranking.NaturalRanking:133	1.0 3.0 0.5
org.apache.commons.math3.random.RandomDataImpl:126	1.0 3.0 0.5
org.apache.commons.math3.random.RandomDataImpl:129	1.0 3.0 0.5
org.apache.commons.math3.random.RandomDataImpl:139	1.0 3.0 0.5
org.apache.commons.math3.random.RandomDataImpl:140	1.0 3.0 0.5
org.apache.commons.math3.random.RandomDataImpl:141	1.0 3.0 0.5
org.apache.commons.math3.random.RandomDataImpl:149	1.0 3.0 0.5
org.apache.commons.math3.random.RandomDataImpl:151	1.0 3.0 0.5
org.apache.commons.math3.random.RandomDataImpl:152	1.0 3.0 0.5
org.apache.commons.math3.random.RandomDataImpl:153	1.0 3.0 0.5
org.apache.commons.math3.random.RandomDataImpl:154	1.0 3.0 0.5
org.apache.commons.math3.random.RandomDataImpl:157	1.0 3.0 0.5
org.apache.commons.math3.random.RandomDataImpl:158	1.0 3.0 0.5
org.apache.commons.math3.random.RandomDataImpl:168	1.0 3.0 0.5
org.apache.commons.math3.random.RandomDataImpl:169	1.0 3.0 0.5
org.apache.commons.math3.stat.ranking.NaNStrategy:36	1.0 3.0 0.5
org.apache.commons.math3.stat.ranking.NaNStrategy:39	1.0 3.0 0.5
org.apache.commons.math3.stat.ranking.NaNStrategy:42	1.0 3.0 0.5
org.apache.commons.math3.stat.ranking.NaNStrategy:45	1.0 3.0 0.5
org.apache.commons.math3.stat.ranking.NaNStrategy:48	1.0 3.0 0.5
org.apache.commons.math3.stat.ranking.TiesStrategy:39	1.0 3.0 0.5
org.apache.commons.math3.stat.ranking.TiesStrategy:42	1.0 3.0 0.5
org.apache.commons.math3.stat.ranking.TiesStrategy:45	1.0 3.0 0.5
org.apache.commons.math3.stat.ranking.TiesStrategy:48	1.0 3.0 0.5
org.apache.commons.math3.stat.ranking.TiesStrategy:51	1.0 3.0 0.5
org.apache.commons.math3.stat.ranking.TiesStrategy:54	1.0 3.0 0.5
org.apache.commons.math3.util.ArithmeticUtils:35	1.0 3.0 0.5
org.apache.commons.math3.util.ArithmeticUtils:299	1.0 3.0 0.5
org.apache.commons.math3.util.ArithmeticUtils:303	1.0 3.0 0.5
org.apache.commons.math3.util.ArithmeticUtils:306	1.0 3.0 0.5
org.apache.commons.math3.util.FastMathLiteralArrays:29	1.0 3.0 0.5
org.apache.commons.math3.util.FastMathLiteralArrays:1535	1.0 3.0 0.5
org.apache.commons.math3.util.FastMathLiteralArrays:3043	1.0 3.0 0.5
org.apache.commons.math3.util.FastMathLiteralArrays:4074	1.0 3.0 0.5
org.apache.commons.math3.util.FastMathLiteralArrays:5103	1.0 3.0 0.5
org.apache.commons.math3.util.FastMathLiteralArrays:6142	1.0 3.0 0.5
org.apache.commons.math3.util.FastMathLiteralArrays:6150	1.0 3.0 0.5
