org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:603	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:606	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:608	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:609	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:613	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:614	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:616	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:617	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:618	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:621	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:622	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:623	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:624	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:625	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:626	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:628	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:629	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:630	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:631	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:632	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:633	16.0 2.0 0.7126966450997984
