org.apache.commons.math.dfp.Dfp:819	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:820	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:824	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:845	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:849	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:860	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:862	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:865	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:874	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:878	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:882	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:887	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:888	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:889	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:892	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:893	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:898	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:899	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:900	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:903	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:904	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:908	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1145	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1146	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1147	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1150	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1151	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1152	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1153	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1154	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1155	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1158	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1168	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1176	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1207	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1208	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1211	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1214	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1215	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1217	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1218	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1221	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1222	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1223	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1229	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1230	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1233	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1238	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1239	1.0 62.0 0.1259881576697424
